iter	Logloss
0	0.5053981835
1	0.397506465
2	0.3450800712
3	0.3162372162
4	0.3001645734
5	0.2860539801
6	0.2750779597
7	0.2654712464
8	0.2578601016
9	0.2527973282
10	0.2487409604
11	0.2438573588
12	0.2400111932
13	0.2363542956
14	0.2333715166
15	0.2295911097
16	0.2274639608
17	0.2239055688
18	0.2222208263
19	0.2191083294
20	0.215275146
21	0.2105149455
22	0.2080894622
23	0.204833544
24	0.2022352881
25	0.2003731351
26	0.1986083961
27	0.1966267353
28	0.1946559797
29	0.1937462962
30	0.189657673
31	0.1877205079
32	0.1851252705
33	0.1839491182
34	0.1824703804
35	0.1807356868
36	0.1788563207
37	0.1757367697
38	0.1727997197
39	0.1709147761
40	0.1699241312
41	0.1684827607
42	0.1671663924
43	0.165965478
44	0.1646187522
45	0.1632747425
46	0.1622046854
47	0.1606848054
48	0.1597338079
49	0.1579127443
50	0.1570173351
51	0.1551974648
52	0.1538459576
53	0.1521621013
54	0.1505677345
55	0.1495462089
56	0.1481168088
57	0.1470933614
58	0.146076516
59	0.144727982
60	0.1429113445
61	0.1410075926
62	0.1402739011
63	0.1392546703
64	0.138277367
65	0.1371467261
66	0.1365263347
67	0.1351158384
68	0.1336453921
69	0.1329873639
70	0.1317781757
71	0.130093231
72	0.1285110199
73	0.1276042541
74	0.126462397
75	0.1250454827
76	0.1241853646
77	0.1228706479
78	0.1222265018
79	0.1205050375
80	0.1199232299
81	0.1192562613
82	0.1184657378
83	0.1174190947
84	0.1169171251
85	0.1157254765
86	0.1149209993
87	0.1141058307
88	0.1133948766
89	0.1125781856
90	0.1112228452
91	0.1106603695
92	0.1099999922
93	0.1095112879
94	0.1090445694
95	0.10830564
96	0.1070492865
97	0.1064338119
98	0.1057099328
99	0.1050466694
100	0.1043688401
101	0.1035719178
102	0.1029548627
103	0.1023152463
104	0.1014600874
105	0.1006774568
106	0.09987337764
107	0.09939046664
108	0.09855136168
109	0.09779660357
110	0.09716983803
111	0.09650177658
112	0.09593037658
113	0.09500192438
114	0.09399535536
115	0.09339222977
116	0.09281298222
117	0.09258894127
118	0.09192089283
119	0.0909724743
120	0.09001501327
121	0.0896577867
122	0.08881582945
123	0.08830119028
124	0.08725857674
125	0.08669354495
126	0.08632250507
127	0.08566366109
128	0.0847925852
129	0.0844424025
130	0.08394434271
131	0.08345507018
132	0.08291730812
133	0.08240042749
134	0.08178343728
135	0.08138379355
136	0.080997169
137	0.08050280504
138	0.07987910481
139	0.07886366983
140	0.07815549433
141	0.0778126365
142	0.07724545225
143	0.07678598646
144	0.07629352481
145	0.07593970675
146	0.07563116757
147	0.07512149442
148	0.07488601752
149	0.07426870745
150	0.07395641256
151	0.07342833211
152	0.07327384062
153	0.07285579041
154	0.07229671037
155	0.07180601133
156	0.07114066097
157	0.07085117417
158	0.07048447849
159	0.07014348607
160	0.06982555234
161	0.06946077787
162	0.06900530625
163	0.0685479369
164	0.0678827067
165	0.06731225287
166	0.06680831574
167	0.06625831882
168	0.06600905304
169	0.06578749472
170	0.06516650047
171	0.06453404926
172	0.0641425007
173	0.06354775178
174	0.06286993411
175	0.06248752122
176	0.06205510349
177	0.06162772659
178	0.06135901247
179	0.06114345372
180	0.06080618803
181	0.06033335294
182	0.06009932448
183	0.05964175864
184	0.05934578313
185	0.05902322554
186	0.05873566898
187	0.05835983409
188	0.0579526719
189	0.05766815401
190	0.05732779815
191	0.05695205782
192	0.05639933789
193	0.05603964742
194	0.05568895104
195	0.05521660998
196	0.05504116817
197	0.05485429277
198	0.05448887864
199	0.05424786259
200	0.05393868184
201	0.05365865418
202	0.0534297818
203	0.0532276246
204	0.0530062427
205	0.05287012911
206	0.05247819854
207	0.05210023613
208	0.051860227
209	0.05152606855
210	0.05135570522
211	0.05115808766
212	0.05083487602
213	0.05053378912
214	0.05028310419
215	0.04999242436
216	0.04977612404
217	0.04950677124
218	0.04922495734
219	0.04907168911
220	0.04878274959
221	0.04850159281
222	0.04805076397
223	0.0479497338
224	0.04780264449
225	0.04758609573
226	0.04721722728
227	0.04698800266
228	0.0467705595
229	0.04656838865
230	0.04629529996
231	0.04610086515
232	0.04573354648
233	0.0454446797
234	0.04515337456
235	0.04492128025
236	0.04464408575
237	0.04434990664
238	0.0440074888
239	0.04388747818
240	0.04332986487
241	0.04304016083
242	0.04281202301
243	0.04257250724
244	0.04242259724
245	0.04221407466
246	0.04189377284
247	0.04169366337
248	0.04125348618
249	0.04107842038
250	0.04095254319
251	0.04065791926
252	0.04054473633
253	0.04028861746
254	0.04013341051
255	0.03996394834
256	0.03974180098
257	0.03953857662
258	0.0393297566
259	0.03904945562
260	0.03890365922
261	0.03867083568
262	0.03847946499
263	0.0383522966
264	0.03829393582
265	0.03800994748
266	0.03785568488
267	0.03746628807
268	0.03727538884
269	0.03706028999
270	0.03676889434
271	0.03653624697
272	0.03612949408
273	0.035935568
274	0.03581408976
275	0.03562915784
276	0.03537107529
277	0.03520955874
278	0.03509953348
279	0.03485941912
280	0.03474363381
281	0.03463259173
282	0.03441794798
283	0.03426924111
284	0.03413595249
285	0.03402452156
286	0.03387708503
287	0.03374982238
288	0.03342000056
289	0.03324927877
290	0.03305287917
291	0.03287645838
292	0.03277336693
293	0.03266118368
294	0.032545041
295	0.03234166718
296	0.03215412895
297	0.03196683065
298	0.03180255116
299	0.03168275302
